t_ms,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2
183011,-9492,-4256,13036,-456,-46,-343,-9460,-2864,11996,-538,-200,-209
183031,-9476,-4244,13128,-475,-42,-344,-9452,-2856,12036,-530,-192,-202
183051,-9476,-4152,12900,-462,-49,-386,-9440,-2772,11924,-546,-203,-228
183071,-9424,-4264,13092,-444,-51,-356,-9496,-2788,11988,-550,-224,-218
183091,-9416,-4196,12848,-460,-26,-342,-9504,-2856,11916,-535,-202,-200
183111,-9548,-4248,12860,-459,-61,-358,-9672,-2824,12008,-530,-213,-191
183131,-9476,-4232,12972,-457,-51,-325,-9452,-2860,11956,-532,-187,-225
183151,-9384,-4204,13096,-489,-53,-343,-9424,-2740,11904,-543,-197,-221
183171,-9448,-4240,12820,-457,-43,-363,-9564,-2844,11752,-533,-210,-221
183191,-9496,-4272,13032,-453,-37,-342,-9484,-2828,11824,-536,-183,-228
183211,-9392,-4204,12880,-424,-30,-370,-9448,-2808,11972,-542,-198,-223
183231,-9328,-4272,12832,-491,-38,-350,-9484,-2820,11988,-538,-207,-213
183251,-9480,-4220,12764,-479,-31,-368,-9496,-2848,12068,-530,-222,-206
183271,-9404,-4180,12872,-410,-56,-333,-9440,-2744,11960,-538,-185,-216
183291,-9404,-4216,12964,-470,-38,-371,-9472,-2748,11872,-541,-208,-217
183311,-9380,-4260,12976,-499,-37,-362,-9440,-2704,12044,-526,-197,-218
183331,-9396,-4244,12928,-453,-40,-344,-9536,-2812,11796,-549,-205,-217
183351,-9456,-4200,12864,-439,-38,-341,-9512,-2760,12044,-562,-203,-218
183371,-9404,-4192,12844,-469,-23,-328,-9456,-2816,11880,-563,-190,-217
183391,-9504,-4232,12816,-467,-37,-345,-9524,-2824,12060,-547,-202,-234
183411,-9408,-4180,13028,-442,-50,-344,-9476,-2712,12044,-528,-177,-222
183431,-9372,-4300,12780,-451,-31,-341,-9504,-2744,11972,-545,-192,-228
